StopID,CleverID,PlaceNumber,StopName,Latitude,Longitude,Served by Routes,Layover or End of Line,Layover_Type,Property Owner,Agreement,Maintained By,Property_Owner,Risk_Level,ExpirationAgreement,Agreement_link,Notes,Potential_Backups,Intersect directly with PRT owned parcel,PAAC/None,Public/Low,Public/Moderate,Others,Estimated Sq. Footage,Addtl. Details,Street view link
E03277,20696,03105,ALCOMA BLVD AT TURNAROUND,40.4853,-79.7997,77,Layover,Street,,,,Private,Low,,,Just a turnaround; SAT SUN only (schedule committee request: build backwards to layover downtown with restrooms),,,0,0,0,0,Large,Huge enough,"https://www.google.com/maps/@40.3522234,-79.8611655,3a,75y,301.34h,82.95t/data=!3m7!1e1!3m5!1s3iBYyIHBjl6-6wBzkOAHig!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D3iBYyIHBjl6-6wBzkOAHig%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D345.6233%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
N71211,99998,07098,ALLEGHENY STATION,40.447801,-80.01834,"BLUE, RED, SLVR",Layover,Off-Street,PRT,,PRT,PAAC,None,,,,,1,1,0,0,1,Small,"Street parking, near building","https://www.google.com/maps/@40.4246002,-79.9619432,3a,75y,230.17h,71.36t/data=!3m6!1e1!3m4!1sFiJzdMcJ5F9ljEHMvsJq6g!2e0!7i16384!8i8192"
N71216,19883,22123,ALLEGHENY STATION BAY 1,40.4477,-80.0192,14,Layover,Off-Street,PRT,,PRT,PAAC,None,,,,,1,1,0,0,1,Small,"Street parking, near building","https://www.google.com/maps/@40.4616744,-79.9270955,3a,75y,161.26h,90t/data=!3m7!1e1!3m5!1s18gL5JO3V1WQZm0aMUizlw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D18gL5JO3V1WQZm0aMUizlw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D165.52965%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
N71217,19884,22124,ALLEGHENY STATION BAY 2,40.4476,-80.0194,18,Layover,Off-Street,PRT,,PRT,PAAC,None,,,,,1,1,0,0,1,Small,Street parking,"https://www.google.com/maps/@40.3716468,-79.8442128,3a,75y,338.47h,90t/data=!3m7!1e1!3m5!1sbvy52kKJ2I0Yy243K-41vA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dbvy52kKJ2I0Yy243K-41vA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D343.2734%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
,,,ALLEGHENY STATION BAY 3,40.44766003,-80.01939062,54,Layover,Off-Street,PRT,,PRT,PAAC,None,,,,,1,1,0,0,1,Small,Street parking and no space,"https://www.google.com/maps/@40.4901247,-79.8700519,3a,75y,90.22h,90.2t/data=!3m7!1e1!3m5!1sAiNqB94u-Aq5PnohMTfvNQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DAiNqB94u-Aq5PnohMTfvNQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D1.8493679%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
,,22298,ALLEGHENY STATION BAY 3,40.44766003,-80.01939062,54,,,,,,,,,,Route extended June 2023 to use this layover location,,1,0,0,0,1,Medium,Private parking,"https://www.google.com/maps/@40.4139254,-79.8530926,3a,75y,199.81h,90t/data=!3m7!1e1!3m5!1saVq-Bn-zcXyxhtEGKnSYYQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DaVq-Bn-zcXyxhtEGKnSYYQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D195.3367%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
N05685,16051,01371,AMBRIDGE PARK AND RIDE,40.5924,-80.2281,14,Layover,Off-Street,Private,Yes,PRTs Contractor,PAAC,None,,,needs updating,,,1,0,0,1,Large,parking space,"https://www.google.com/maps/@40.5406801,-79.831103,3a,75y,331.97h,81.85t/data=!3m7!1e1!3m5!1sjSM14pAbaBrlj5mxwnZtpA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DjSM14pAbaBrlj5mxwnZtpA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D38.806118%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
N06210,1258,01291,AVALON LOOP AT CALIFORNIA AVE FS,40.5037,-80.0744,16,Layover,Off-Street,PRT,,PRT,PAAC,None,,,,,1,1,0,0,1,Medium,private parking,"https://www.google.com/maps/@40.3460966,-79.8284793,3a,75y,167.8h,88.54t/data=!3m7!1e1!3m5!1sYhu9iWtp0Kx9QxPLFtJKeg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DYhu9iWtp0Kx9QxPLFtJKeg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D221.70497%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
N07750,2191,01521,BANK ST AT WALNUT ST,40.5377,-80.1855,21,Layover,Street,,,,Public,,,,,,,0,0,0,0,Small,"Street parking, near building","https://www.google.com/maps/@40.4789172,-79.9190367,3a,75y,46.56h,99.38t/data=!3m7!1e1!3m5!1sQMyBQGbavOeMOYxphJUzEg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DQMyBQGbavOeMOYxphJUzEg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D357.65402%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
E05520,11092,00054,BEATTY ST AT PENN AVE NS (Mignonette St),40.4616,-79.9271,"74, 89",Layover,Street,COP,,PRTs Contractor,Public,,,,,,,0,0,0,0,Medium,private parking,"https://www.google.com/maps/place/40%C2%B029'40.6%22N+79%C2%B053'09.2%22W/@40.4946041,-79.8880887,683m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d40.4946!4d-79.8859"
E05910,8000,00782,BEECHWOOD BLVD AT DOUGLAS ST FS,40.4333,-79.9146,65,Layover,Street,,,,Public,,,,,,,0,0,0,0,Small,street parking,"https://www.google.com/maps/@40.5003892,-79.8611363,3a,75y,133.69h,93.5t/data=!3m7!1e1!3m5!1skZxoBOSsygzaX7Q3f4LFxw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DkZxoBOSsygzaX7Q3f4LFxw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D337.3045%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
E08450,13496,00268,BOYCE CAMPUS EAST PKG LOT AT STEPS,40.4532,-79.7514,"67, 77",Layover,Off-Street,Private,,PRTs Contractor,Private,Moderate,,,Periodic complaints; this is built in for 77 but due it its trip length it's not utilized (just deadhead back),,,0,0,0,1,Medium,private parking,"https://www.google.com/maps/@40.4531307,-79.7513651,3a,75y,339.54h,84.19t/data=!3m7!1e1!3m5!1sDhcMdZZKVf4Ej_1RJWUEWw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DDhcMdZZKVf4Ej_1RJWUEWw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D49.92704%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
E70966,22580,00098,BRADDOCK HILLS SHOPPING CENTER TERMINAL (NO STOP),40.4138,-79.8532,"61A, 61B",Layover,Off-Street,Private,,PRTs Contracor,Private,Low,,,Replacement terminus for 61A/B after unable to secure an agreement with Braddock Borough. No complaints from SC yet. ,,,0,0,0,1,Medium,private parking,"https://www.google.com/maps/@40.4684073,-80.0973415,3a,75y,237.33h,87.89t/data=!3m6!1e1!3m4!1sKVNOfBVyf3ZWzUoXCDmsJQ!2e0!7i16384!8i8192"
S70266,19882,20006,BRENTWOOD LOOP TERMINUS,40.3806,-79.9763,51,Layover,Off-Street,PRT,,PRT,PAAC,None,,,,,1,1,0,0,1,Small,"Street parking, near building","https://www.google.com/maps/@40.4407734,-80.0686517,3a,75y,211.31h,81.07t/data=!3m7!1e1!3m5!1sLPW8J4lwwVI3G7ij9JFmPw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DLPW8J4lwwVI3G7ij9JFmPw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D156.74922%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
E70831,20874,10015,BROADVIEW DR AT JOHNSTON AVE,40.408,-79.9264,93,Layover,Street,,,,Private,Moderate,,,This is a private street- have had complaints,,,0,0,0,1,Small,street parking,"https://www.google.com/maps/@40.3396616,-80.0552039,3a,75y,11.87h,97.09t/data=!3m7!1e1!3m5!1sUIQ1BsK5EUmpJe73dSgEZg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DUIQ1BsK5EUmpJe73dSgEZg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D52.917522%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
,,,CCAC South  Campus,40.33015307,-79.9234831,,,Off Street,Private,,PRTs Contrctor,,,,,,,,0,0,0,1,Small,Street parking and no space,"https://www.google.com/maps/@40.3492414,-80.1033832,3a,75y,296.16h,97.27t/data=!3m7!1e1!3m5!1sEsAKlgiAZrvpiqgV6yMgnw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DEsAKlgiAZrvpiqgV6yMgnw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D18.078327%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
N71321,22588,01290,CENTER AVE AT WALLISTON AVE,40.513,-80.103,19L,Layover,Street,,,,Public,,,,Unused,,,0,0,0,0,Small,Street parking and no space,"https://www.google.com/maps/@40.4303771,-79.9771259,3a,75y,343.36h,90t/data=!3m7!1e1!3m5!1sKdfIAP7rVKTollmNBcKdyw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DKdfIAP7rVKTollmNBcKdyw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D347.18393%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
W20290,19761,01455,CHARTIERS VALLEY SC AT TERMINUS,40.3678,-80.1104,38,Layover,Off-Street,,,,Private,Moderate,,,Handshake deal. PennDOT DLC has moved us around.,,,0,0,0,1,Medium,private parking,"https://www.google.com/maps/@40.4528731,-80.1568756,3a,75y,312.2h,68.84t/data=!3m7!1e1!3m5!1syM8Rk7Cd_BVNv6eechHwsA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DyM8Rk7Cd_BVNv6eechHwsA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D18.478516%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
