trip,stop,location,time
12934070,4405,4405,0
11671070,4405,4405,0
2147070,4405,4405,0
4280070,4405,4405,0
9717070,4405,4405,0
5465070,4405,4405,0
7108070,4405,4405,0
12062070,4405,4405,0
613070,4405,4405,0
6971070,4405,4405,0
10596070,4405,4405,0
5929070,4405,4405,0
8986070,4405,4405,0
2315070,4405,4405,0
7272070,4405,4405,0
10979070,4405,4405,0
1160070,4405,4405,0
5044070,4405,4405,0
9669010,4405,4405,0
2904010,4405,4405,0
3606010,4405,4405,0
13009010,4405,4405,0
6219010,4405,4405,0
3896010,4405,4405,0
9345010,4405,4405,0
3267010,4405,4405,0
4519010,4405,4405,0
3837010,4405,4405,0
5055010,4405,4405,0
5281010,4405,4405,0
9702080,4405,4405,0
696080,4405,4405,0
13087080,4405,4405,0
10660080,4405,4405,0
13170080,4405,4405,0
7350080,4405,4405,0
4792080,4405,4405,0
11216080,4405,4405,0
9806080,4405,4405,0
3399080,4405,4405,0
7514080,4405,4405,0
7202080,4405,4405,0
11340020,4405,4405,0
871020,4405,4405,0
9247020,4405,4405,0
2803020,4405,4405,0
2982020,4405,4405,0
4265020,4405,4405,0
7578020,4405,4405,0
2079020,4405,4405,0
7619020,4405,4405,0
5045020,4405,4405,0
3671020,4405,4405,0
2114020,4405,4405,0
7906070,8308,8308,0
11698070,8308,8308,0
8893070,8308,8308,0
7707070,8308,8308,0
5179070,8308,8308,0
4015070,8308,8308,0
7834070,8308,8308,0
6738070,8308,8308,0
5626070,8308,8308,0
10092010,8308,8308,0
1615010,8308,8308,0
10173010,8308,8308,0
6134010,8308,8308,0
13733010,8308,8308,0
13702010,8308,8308,0
2470080,8308,8308,0
8600080,8308,8308,0
6516080,8308,8308,0
7512080,8308,8308,0
4309080,8308,8308,0
6973080,8308,8308,0
12541020,8308,8308,0
12926020,8308,8308,0
5583020,8308,8308,0
7079020,8308,8308,0
6151020,8308,8308,0
4424020,8308,8308,0
7800070,16063,16063,0
5975070,16063,16063,0
