trip,stop,location,time
11750010,22899,22899,3.0
8193010,22899,22899,3.0
12058010,22899,22899,3.0
11553010,22899,22899,3.0
2812010,22899,22899,3.0
675010,22899,22899,3.0
1654010,22899,22899,3.0
4297010,22899,22899,3.0
10642010,22899,22899,3.0
435010,22899,22899,3.0
3759010,22899,22899,3.0
9685010,22899,22899,3.0
6756080,22899,22899,3.0
13948080,22899,22899,3.0
9124080,22899,22899,3.0
11286080,22899,22899,3.0
4737080,22899,22899,3.0
1187080,22899,22899,3.0
3260080,22899,22899,3.0
4697080,22899,22899,3.0
8477080,22899,22899,3.0
1454080,22899,22899,3.0
8911080,22899,22899,3.0
4113080,22899,22899,3.0
10911070,22899,22899,3.0
5026070,22899,22899,3.0
13271070,22899,22899,3.0
11153070,22899,22899,3.0
11489070,22899,22899,3.0
3205070,22899,22899,3.0
7307070,22899,22899,3.0
13906070,22899,22899,3.0
3251070,22899,22899,3.0
10531070,22899,22899,3.0
8320070,22899,22899,3.0
810070,22899,22899,3.0
6869070,22899,22899,3.0
958070,22899,22899,3.0
13552070,22899,22899,3.0
2442070,22899,22899,3.0
229020,22899,22899,3.0
2046020,22899,22899,3.0
12877020,22899,22899,3.0
5691020,22899,22899,3.0
2253020,22899,22899,3.0
14061020,22899,22899,3.0
8041020,22899,22899,3.0
11450020,22899,22899,3.0
11651020,22899,22899,3.0
9332020,22899,22899,3.0
1891020,22899,22899,3.0
563020,22899,22899,3.0
76020,22899,22899,3.0
3563020,22899,22899,3.0
1612070,12565,12565,3.0
7296070,12565,12565,3.0
1517070,12565,12565,3.0
6891070,12565,12565,3.0
6131070,12565,12565,3.0
10653070,12565,12565,3.0
11391020,12565,12565,3.0
323020,12565,12565,3.0
7965020,12565,12565,3.0
13666020,12565,12565,3.0
3247020,12565,12565,3.0
9133020,12565,12565,3.0
7739020,12565,12565,3.0
6647020,12565,12565,3.0
8733020,12565,12565,3.0
12507020,12565,12565,3.0
5457020,12565,12565,3.0
3216020,12565,12565,3.0
9867020,12565,12565,3.0
13221020,16063,TP7010,0.6
10454020,16063,TP7010,0.6
598020,16063,TP7010,0.6
2085020,16063,TP7010,0.6
1996020,16063,TP7010,0.6
13887020,16063,TP7010,0.6
908020,16063,TP7010,0.6
6669020,16063,TP7010,0.6
6534020,16063,TP7010,0.6
12795020,16063,TP7010,0.6
8268020,16063,TP7010,0.6
11134020,16063,TP7010,0.6
10221020,16063,TP7010,0.6
4006020,16063,TP7010,0.6
7786020,16063,TP7010,0.6
7274020,16063,TP7010,0.6
