trip_id,Unnamed: 0,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
8138070,30,183316107,71B,INBOUND-DOWNTOWN,6:30:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,7:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 6:30,1/1/2023 7:03,0 days 00:33:00,33.0,0.55
6420070,31,183316107,71B,OUTBOUND-HIGHLAND PARK,7:03:00,3,FIFTH AVE + WOOD ST,20856,7:40:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 7:03,1/1/2023 7:40,0 days 00:37:00,37.0,0.616666667
7440070,50,183316607,71B,INBOUND-DOWNTOWN,6:00:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,6:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 6:00,1/1/2023 6:33,0 days 00:33:00,33.0,0.55
5155070,51,183316607,71B,OUTBOUND-HIGHLAND PARK,6:33:00,3,FIFTH AVE + WOOD ST,20856,7:04:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 6:33,1/1/2023 7:04,0 days 00:31:00,31.0,0.516666667
4967070,204,183318007,71B,INBOUND-DOWNTOWN,5:30:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,6:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 5:30,1/1/2023 6:03,0 days 00:33:00,33.0,0.55
1405070,205,183318007,71B,OUTBOUND-HIGHLAND PARK,6:03:00,3,FIFTH AVE + WOOD ST,20856,6:34:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 6:03,1/1/2023 6:34,0 days 00:31:00,31.0,0.516666667
13046070,206,183318007,71B,INBOUND-DOWNTOWN,7:00:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,7:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 7:00,1/1/2023 7:33,0 days 00:33:00,33.0,0.55
2053070,207,183318007,71B,OUTBOUND-HIGHLAND PARK,7:33:00,3,FIFTH AVE + WOOD ST,20856,8:10:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 7:33,1/1/2023 8:10,0 days 00:37:00,37.0,0.616666667
7094070,392,183321607,71B,INBOUND-DOWNTOWN,11:51:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,12:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 11:51,1/1/2023 12:33,0 days 00:42:00,42.0,0.7
12736070,393,183321607,71B,OUTBOUND-HIGHLAND PARK,12:33:00,3,FIFTH AVE + WOOD ST,20856,13:13:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 12:33,1/1/2023 13:13,0 days 00:40:00,40.0,0.666666667
623070,398,183321807,71B,INBOUND-DOWNTOWN,13:51:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,14:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 13:51,1/1/2023 14:33,0 days 00:42:00,42.0,0.7
3500070,399,183321807,71B,OUTBOUND-HIGHLAND PARK,14:33:00,3,FIFTH AVE + WOOD ST,20856,15:13:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 14:33,1/1/2023 15:13,0 days 00:40:00,40.0,0.666666667
12844070,436,183323007,71B,INBOUND-DOWNTOWN,8:25:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,9:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 8:25,1/1/2023 9:03,0 days 00:38:00,38.0,0.633333333
5496070,437,183323007,71B,OUTBOUND-HIGHLAND PARK,9:03:00,3,FIFTH AVE + WOOD ST,20856,9:40:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 9:03,1/1/2023 9:40,0 days 00:37:00,37.0,0.616666667
6212070,438,183323007,71B,INBOUND-DOWNTOWN,9:53:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,10:31:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 9:53,1/1/2023 10:31,0 days 00:38:00,38.0,0.633333333
