Date,Start SOC,End SOC,Duration,Distance,Seasonality,Electric_use
12/1/2022,79.6,34,4:23:27,88,1,45.6
12/12/2022,78,43.2,5:22:42,51,1,34.8
12/12/2022,42.4,30.4,1:45:34,19,1,12
12/12/2022,29.6,10,1:54:37,17,1,19.6
12/12/2022,18,16.8,0:04:01,2,1,1.2
12/12/2022,80.8,60.8,1:52:38,35,1,20
12/13/2022,68.4,22,4:33:32,85,1,46.4
12/13/2022,63.6,22.4,4:10:33,51,1,41.2
12/14/2022,78.8,45.2,4:24:25,53,1,33.6
12/14/2022,78.8,28.4,5:11:50,60,1,50.4
12/15/2022,80,53.4,3:46:14,36,1,26.6
12/15/2022,81.2,51.2,2:24:47,58,1,30
12/15/2022,50,41.6,0:59:19,13,1,8.4
12/15/2022,40.8,32.8,1:03:22,12,1,8
12/16/2022,76.8,45.2,5:08:40,48,1,31.6
12/16/2022,81.2,30.4,5:16:46,95,1,50.8
12/19/2022,77.2,72.8,0:22:07,11,1,4.4
12/19/2022,71.2,58.4,1:05:20,26,1,12.8
12/19/2022,80.4,66,1:07:20,30,1,14.4
12/19/2022,64.8,50.4,1:09:22,28,1,14.4
12/2/2022,80.8,70.8,1:08:24,17,1,10
12/2/2022,70.8,50.8,2:36:52,27,1,20
12/20/2022,77.2,40.4,5:13:38,51,1,36.8
12/20/2022,80,65.6,1:34:30,21,1,14.4
12/20/2022,64.8,48.4,1:24:26,21,1,16.4
12/21/2022,78.4,50.4,2:48:53,51,1,28
12/26/2022,78.8,51.6,2:25:45,39,1,27.2
12/27/2022,81.2,77.2,0:19:06,9,1,4
12/27/2022,77.2,62.4,1:12:23,28,1,14.8
12/28/2022,80,40.52,3:25:04,62,1,39.48
12/29/2022,80.4,21.6,7:10:16,95,1,58.8
12/5/2022,79.6,55.2,2:29:49,34,1,24.4
12/6/2022,54.4,36.8,1:47:34,35,1,17.6
12/6/2022,36.8,27.2,0:27:09,21,1,9.6
12/6/2022,27.2,12,1:35:32,37,1,15.2
12/6/2022,81.2,66.4,1:58:40,25,1,14.8
12/7/2022,89.2,52.8,5:19:29,56,1,36.4
12/7/2022,89.2,57.6,3:43:10,78,1,31.6
12/7/2022,54.4,22.4,3:32:05,60,1,32
12/7/2022,88.8,46.4,7:11:13,76,1,42.4
12/7/2022,45.6,39.6,0:53:17,13,1,6
12/7/2022,87.6,80.8,1:08:20,11,1,6.8
12/7/2022,80.4,74.8,1:13:23,13,1,5.6
12/7/2022,91.2,84,0:59:18,12,1,7.2
12/7/2022,83.2,75.2,1:08:22,12,1,8
12/7/2022,89.2,70.8,2:39:49,35,1,18.4
12/7/2022,70.8,62,1:31:28,18,1,8.8
12/8/2022,89.2,38.8,6:27:59,71,1,50.4
12/8/2022,90,60,4:54:30,52,1,30
12/8/2022,90.4,57.6,4:03:15,79,1,32.8
12/8/2022,57.6,30,3:39:08,61,1,27.6
12/8/2022,90.4,76.8,1:52:34,21,1,13.6
12/8/2022,76.8,63.6,1:35:30,19,1,13.2
12/8/2022,63.6,51.2,1:27:27,19,1,12.4
12/8/2022,92.4,75.6,1:58:37,28,1,16.8
12/8/2022,75.6,62,1:20:26,28,1,13.6
12/9/2022,89.2,31.6,5:25:42,61,1,57.6
12/9/2022,89.2,45.6,5:01:34,62,1,43.6
12/9/2022,88.8,53.6,3:40:08,49,1,35.2
12/9/2022,90.8,66.8,5:00:33,34,1,24
12/9/2022,65.2,26,4:57:32,57,1,39.2
12/9/2022,86.8,55.6,2:57:54,53,1,31.2
12/9/2022,52.8,37.6,1:56:36,20,1,15.2
12/9/2022,37.6,16,2:28:46,37,1,21.6
12/9/2022,90.8,78,1:06:20,27,1,12.8
12/9/2022,76.8,61.6,1:22:26,29,1,15.2
6-Jan,89.6,63.6,2:45:54,37,1,26
6-Jan,88.8,44.4,4:54:32,69,1,44.4
7-Jan,91.2,68.8,1:41:32,34,1,22.4
7-Jan,68,50.8,1:02:20,28,1,17.2
10-Jan,91.2,61.6,3:20:02,35,1,29.6
10-Jan,87.6,55.6,3:17:00,49,1,32
11-Jan,90.4,66,3:11:59,30,1,24.4
11-Jan,90.4,48,4:53:30,60,1,42.4
12-Jan,88.8,59.2,3:14:59,40,1,29.6
12-Jan,89.6,66.8,2:47:52,35,1,22.8
12-Jan,89.6,79.6,1:03:20,20,1,10
12-Jan,78.8,29.6,4:29:22,80,1,49.2
12-Jan,86,67.2,2:28:46,30,1,18.8
12-Jan,89.6,48.8,5:03:32,55,1,40.8
13-Jan,90.4,70,2:24:45,30,1,20.4
13-Jan,90,54,3:36:06,85,1,36
13-Jan,62.4,35.2,3:18:01,35,1,27.2
13-Jan,90,63.2,3:11:59,45,1,26.8
13-Jan,61.2,43.6,1:29:28,35,1,17.6
14-Jan,90.4,77.2,2:00:37,23,1,13.2
14-Jan,90,72.4,1:47:34,40,1,17.6
14-Jan,72.4,52,2:00:38,40,1,20.4
14-Jan,90,66,3:08:58,30,1,24
14-Jan,88.4,51.6,3:32:06,65,1,36.8
17-Jan,91.2,49.6,3:53:12,65,1,41.6
17-Jan,90.4,52.4,3:42:09,65,1,38
17-Jan,90,57.6,3:27:03,30,1,32.4
17-Jan,90.4,60,3:21:02,50,1,30.4
17-Jan,56.4,36.4,1:41:31,35,1,20
18-Jan,90,63.6,3:28:04,30,1,26.4
18-Jan,87.6,55.2,4:07:17,40,1,32.4
18-Jan,89.6,60.4,2:48:52,35,1,29.2
18-Jan,59.6,32.8,2:04:39,40,1,26.8
19-Jan,88.4,60,3:16:01,40,1,28.4
19-Jan,84.8,72,2:21:44,20,1,12.8
19-Jan,72,60,1:06:20,25,1,12
19-Jan,88.8,64.4,3:19:01,35,1,24.4
19-Jan,87.6,56,3:33:06,65,1,31.6
20-Jan,92,62.8,3:23:03,35,1,29.2
20-Jan,89.6,36.4,6:06:53,80,1,53.2
20-Jan,88.8,64,3:21:02,30,1,24.8
20-Jan,84.4,28.4,6:13:55,75,1,56
21-Jan,89,48,3:33:07,63,1,41
24-Jan,88,62,3:13:00,25,1,26
24-Jan,99,49,3:40:08,65,1,50
25-Jan,90,64,3:19:01,32,1,26
25-Jan,90,59,3:16:00,50,1,31
25-Jan,55,36,1:32:29,32,1,19
26-Jan,88,73,1:53:35,22,1,15
26-Jan,89,63,2:50:53,34,1,26
26-Jan,90,59,3:18:01,46,1,31
27-Jan,90,58,3:22:02,35,1,32
27-Jan,86,35,5:39:45,74,1,51
28-Jan,90,67,2:51:53,35,1,23
28-Jan,88,39,5:28:41,75,1,49
31-Jan,90,51,3:57:13,65,1,39
31-Jan,88,75,2:27:45,22,1,13
2-Feb,92,79.6,2:26:45,20,1,12.4
2-Feb,79.6,64,1:39:30,37,1,15.6
2-Feb,62.8,48.8,1:08:21,27,1,14
2-Feb,48.8,34.4,1:07:21,30,1,14.4
2-Feb,34.4,23.2,1:18:24,19,1,11.2
3-Feb,90.4,78.4,1:50:34,20,1,12
3-Feb,90,56,3:32:06,54,1,34
4-Feb,89.6,63.2,3:07:58,31,1,26.4
7-Feb,86.4,60.8,3:09:58,30,1,25.6
7-Feb,89.6,63.6,3:59:13,42,1,26
7-Feb,63.6,36.4,2:05:38,47,1,27.2
8-Feb,90.4,60.4,3:23:02,37,1,30
8-Feb,88,62.8,2:46:51,35,1,25.2
8-Feb,90.4,63.6,3:07:58,42,1,26.8
