,trip_id,block_id,route_id,trip_headsign,trip_start_time,trip_end_time,start_stop_id,end_stop_id,start_stop_name,start_stop_lat,start_stop_lon,end_stop_name,end_stop_lat,end_stop_lon
0,10402070,183315307.0,71A,INBOUND-DOWNTOWN,05:37:00,06:11:00,3118,20856,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091,FIFTH AVE + WOOD ST,40.440792,-80.000658
1,177070,183315307.0,71A,OUTBOUND-NEGLEY VIA OAKLAND,06:11:00,06:41:00,20856,3118,FIFTH AVE + WOOD ST,40.440792,-80.000658,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091
2,6923070,183315407.0,71C,INBOUND-DOWNTOWN,06:13:00,06:56:00,16111,20856,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,FIFTH AVE + WOOD ST,40.440792,-80.000658
3,5251070,183315407.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,06:56:00,07:33:00,20856,16118,FIFTH AVE + WOOD ST,40.440792,-80.000658,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
4,7534070,183315507.0,88,INBOUND-DOWNTOWN,05:05:00,05:30:00,8308,20182,FIFTH AVE + MCPHERSON FS,40.455505,-79.910881,7TH ST + PENN AVE,40.443323,-80.000347
5,5456070,183315507.0,88,OUTBOUND-BAKERY SQUARE,05:30:00,05:54:00,20182,16029,7TH ST + PENN AVE,40.443323,-80.000347,EAST LIBERTY DRWY + FIFTH FS,40.456011,-79.910856
6,2942070,183315507.0,88,INBOUND-DOWNTOWN,06:25:00,06:50:00,8308,20182,FIFTH AVE + MCPHERSON FS,40.455505,-79.910881,7TH ST + PENN AVE,40.443323,-80.000347
7,11789070,183315507.0,88,OUTBOUND-BAKERY SQUARE,06:50:00,07:14:00,20182,16029,7TH ST + PENN AVE,40.443323,-80.000347,EAST LIBERTY DRWY + FIFTH FS,40.456011,-79.910856
8,9562070,183315607.0,71D,INBOUND-DOWNTOWN VIA OAKLAND,06:11:00,06:48:00,16111,20856,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,FIFTH AVE + WOOD ST,40.440792,-80.000658
9,7437070,183315607.0,71D,OUTBOUND-HAMILTON VIA OAKLAND-SHADYSIDE-5TH AV,06:48:00,07:21:00,20856,16118,FIFTH AVE + WOOD ST,40.440792,-80.000658,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
10,7406070,183315707.0,71C,INBOUND-DOWNTOWN,06:43:00,07:26:00,16111,20856,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,FIFTH AVE + WOOD ST,40.440792,-80.000658
11,32070,183315707.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,07:26:00,08:03:00,20856,16118,FIFTH AVE + WOOD ST,40.440792,-80.000658,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
12,10012070,183315807.0,71A,INBOUND-DOWNTOWN,06:37:00,07:11:00,3118,20856,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091,FIFTH AVE + WOOD ST,40.440792,-80.000658
13,1920070,183315807.0,71A,OUTBOUND-NEGLEY VIA OAKLAND,07:11:00,07:41:00,20856,3118,FIFTH AVE + WOOD ST,40.440792,-80.000658,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091
14,1610070,183315807.0,71A,INBOUND-DOWNTOWN,08:07:00,08:41:00,3118,20856,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091,FIFTH AVE + WOOD ST,40.440792,-80.000658
15,9973070,183315807.0,71A,OUTBOUND-NEGLEY VIA OAKLAND,08:41:00,09:16:00,20856,3118,FIFTH AVE + WOOD ST,40.440792,-80.000658,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091
16,9766070,183315807.0,71A,INBOUND-DOWNTOWN,09:34:00,10:11:00,3118,20856,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091,FIFTH AVE + WOOD ST,40.440792,-80.000658
17,784070,183315807.0,71A,OUTBOUND-NEGLEY VIA OAKLAND,10:11:00,10:46:00,20856,3118,FIFTH AVE + WOOD ST,40.440792,-80.000658,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091
18,2055070,183315907.0,86,INBOUND-DOWNTOWN,05:09:00,05:45:00,16111,20182,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,7TH ST + PENN AVE,40.443323,-80.000347
19,4348070,183315907.0,86,OUTBOUND-WILKINSBURG,05:45:00,06:24:00,20182,16118,7TH ST + PENN AVE,40.443323,-80.000347,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
20,10797070,183315907.0,86,INBOUND-DOWNTOWN,06:39:00,07:15:00,16111,20182,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,7TH ST + PENN AVE,40.443323,-80.000347
21,5775070,183315907.0,86,OUTBOUND-WILKINSBURG,07:15:00,07:54:00,20182,16118,7TH ST + PENN AVE,40.443323,-80.000347,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
22,14015070,183316007.0,71C,INBOUND-DOWNTOWN,07:13:00,07:56:00,16111,20856,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,FIFTH AVE + WOOD ST,40.440792,-80.000658
23,5509070,183316007.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,07:56:00,08:33:00,20856,16118,FIFTH AVE + WOOD ST,40.440792,-80.000658,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
24,4563070,183316007.0,86,INBOUND-DOWNTOWN,08:58:00,09:45:00,16111,20182,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,7TH ST + PENN AVE,40.443323,-80.000347
25,4212070,183316007.0,86,OUTBOUND-WILKINSBURG,09:45:00,10:35:00,20182,16118,7TH ST + PENN AVE,40.443323,-80.000347,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
26,1894070,183316007.0,86,INBOUND-DOWNTOWN,10:58:00,11:45:00,16111,20182,EAST BUSWAY + WILKINSBURG STATION B,40.446781,-79.888757,7TH ST + PENN AVE,40.443323,-80.000347
27,10292070,183316007.0,86,OUTBOUND-WILKINSBURG,11:45:00,12:35:00,20182,16118,7TH ST + PENN AVE,40.443323,-80.000347,EAST BUSWAY + WILKINSBURG STATION D,40.44663,-79.888475
28,8936070,183316107.0,71A,INBOUND-DOWNTOWN,05:07:00,05:41:00,3118,20856,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091,FIFTH AVE + WOOD ST,40.440792,-80.000658
29,1956070,183316107.0,71A,OUTBOUND-NEGLEY VIA OAKLAND,05:41:00,06:11:00,20856,3118,FIFTH AVE + WOOD ST,40.440792,-80.000658,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091
30,8138070,183316107.0,71B,INBOUND-DOWNTOWN,06:30:00,07:03:00,3118,20856,ST CLAIR ST + BUNKER HILL APTS,40.478918,-79.919091,FIFTH AVE + WOOD ST,40.440792,-80.000658
31,6420070,183316107.0,71B,OUTBOUND-HIGHLAND PARK,07:03:00,07:40:00,20856,3283,FIFTH AVE + WOOD ST,40.440792,-80.000658,BUNKERHILL ST + ST CLAIR NS,40.479504,-79.918747
32,5655070,183316207.0,28X,OUTBOUND-PITTSBURGH INTL AIRPORT,04:47:00,05:43:00,8308,22827,FIFTH AVE + MCPHERSON FS,40.455505,-79.910881,PGH AIRPORT UPPER LEVEL (DEPARTURES),40.495329,-80.25578
33,12934070,183316207.0,28X,INBOUND-DOWNTOWN,06:00:00,07:00:00,4405,16029,PGH INTERNL AIRPORT LOWER LEVEL (DOOR2),40.496349,-80.255754,EAST LIBERTY DRWY + FIFTH FS,40.456011,-79.910856
