,0
0,183316207.0
1,183316807.0
2,183316907.0
3,183317007.0
4,183317207.0
5,183317307.0
6,183317507.0
7,183317907.0
8,183318807.0
9,183319807.0
10,183319907.0
11,183320007.0
12,183320707.0
13,183320807.0
14,183321307.0
15,183321507.0
16,183321707.0
17,183322007.0
18,183322607.0
19,183324007.0
20,183324307.0
21,183324507.0
22,183324907.0
23,183327007.0
24,183336307.0
25,183339307.0
26,183340301.0
27,183341001.0
28,183341501.0
29,183341701.0
30,183341901.0
31,183342301.0
32,183343201.0
33,183343801.0
34,183344301.0
35,183344501.0
36,183344801.0
37,183345101.0
38,183345201.0
39,183345501.0
40,183345801.0
41,183346001.0
42,183346201.0
43,183346401.0
44,183346601.0
45,183346901.0
46,183347301.0
47,183349301.0
48,183355501.0
49,183358301.0
50,183358801.0
51,183360508.0
52,183360608.0
53,183360908.0
54,183361208.0
55,183361408.0
56,183361608.0
57,183361808.0
58,183362008.0
59,183362308.0
60,183362708.0
61,183364708.0
62,183370908.0
63,183373708.0
64,183374208.0
65,183375908.0
66,183376608.0
67,183377108.0
68,183377308.0
69,183377508.0
70,183377908.0
71,183378808.0
72,183379408.0
73,183379908.0
74,183380108.0
75,183380408.0
76,183935202.0
77,183936502.0
78,183936702.0
79,183937002.0
80,183938002.0
81,183941002.0
82,183941402.0
83,183941502.0
84,183945102.0
85,183947302.0
86,183947402.0
87,183950002.0
88,183950202.0
89,183950902.0
90,183952302.0
91,183952502.0
92,183953102.0
93,183953502.0
94,183954602.0
95,183955102.0
96,183955402.0
97,183955702.0
98,183956102.0
99,183960402.0
100,183962402.0
101,183977702.0
