route_id,total_distance_traveled,trip_headsign
1,24.4104912572856,INBOUND-DOWNTOWN
1,24.74232293983869,OUTBOUND-TO TARENTUM
11,7.240378043172978,OUTBOUND-DOWNTOWN
12,16.142362707693838,INBOUND-DOWNTOWN
12,17.278182360470755,OUTBOUND-NORTH HILLS
13,9.85571103682255,INBOUND-DOWNTOWN
13,9.541849453813365,OUTBOUND-WEST VIEW
14,16.665223010675184,INBOUND-ALLEGHENY STATION
14,16.395789578336462,OUTBOUND-AMBRIDGE
15,5.322125840406627,INBOUND-DOWNTOWN
15,5.735935228105932,OUTBOUND-NORTHVIEW HEIGHTS-SUMMER HILL
16,6.911168553568544,INBOUND-DOWNTOWN
16,7.232157281867101,OUTBOUND-BRIGHTON HEIGHTS-BELLEVUE-AVALON
17,9.395006648688282,OUTBOUND-SHADELAND
17,8.953950066486884,INBOUND-DOWNTOWN
18,3.319627922005294,OUTBOUND-MANCHESTER
18,2.3747001876545664,INBOUND-ALLEGHENY STATION
19L,9.413473846421514,OUTBOUND-EMSWORTH LIMITED
19L,9.45982825257559,INBOUND-DOWNTOWN
2,18.774454124050852,INBOUND-DOWNTOWN
2,19.05710415449812,OUTBOUND-NORTH HILLS VILLAGE
20,15.423552512209977,INBOUND-DOWNTOWN
20,15.483993438303902,OUTBOUND-KENNEDY CENTER
21,0.1812917096449476,INBOUND-SEWICKLEY
21,13.790995066300471,INBOUND-DOWNTOWN
21,14.69720506543055,OUTBOUND-SEWICKLEY
21,17.067953322480022,OUTBOUND-UNIVERSITY BLVD PARK-AND-RIDE
22,8.808436999018232,INBOUND-DOWNTOWN
22,8.856034150645607,OUTBOUND-KENNEDY CENTER
24,7.082667428883891,INBOUND-DOWNTOWN
24,7.313818086917619,OUTBOUND-KENNEDY CENTER
24,14.783501311096476,OUTBOUND-MALL AT ROBINSON
26,7.0040327090608585,INBOUND-DOWNTOWN
26,6.817279133060758,OUTBOUND-CRAFTON INGRAM SHOPPING CENTER
27,8.132843277368362,INBOUND-DOWNTOWN
27,7.946412815191321,OUTBOUND-CRAFTON INGRAM SHOPPING CENTER
28X,27.530782805373637,INBOUND-DOWNTOWN
28X,27.660500577876647,OUTBOUND-PITTSBURGH INTL AIRPORT
28X,25.9656877974822,OUTBOUND-PITTSBURGH INTL AIRPORT 
29,17.431903761790547,OUTBOUND-PITTSBURGH TECHNICAL COLLEGE
29,21.689462761131896,INBOUND-DOWNTOWN
31,11.791100699665702,OUTBOUND-WASHINGTON AVENUE 
31,11.820634545838669,INBOUND-DOWNTOWN
36,9.32460511762586,INBOUND-DOWNTOWN
36,10.75529720257994,OUTBOUND-SOUTH HILLS VILLAGE
38,10.59656132327538,INBOUND-DOWNTOWN
38,8.95715013608063,OUTBOUND-MT LEBANON-WEST END
38,11.265456646824164,OUTBOUND-CHAR VALLEY SHOPPING CENTER
39,5.908465582164117,INBOUND-DOWNTOWN
39,6.326848273205164,OUTBOUND-BROOKLINE
4,7.543253756198193,OUTBOUND-TROY HILL - RESERVE
4,7.265599562553594,INBOUND-DOWNTOWN
40,5.504163197335553,INBOUND-DOWNTOWN
40,5.237755850224316,OUTBOUND-MT WASHINGTON
41,12.018852448829955,INBOUND-DOWNTOWN
41,11.58811686778431,OUTBOUND-BRIDGEVILLE
43,5.173487268072626,OUTBOUND-MT WASHINGTON VIA BAILEY
43,5.2714963898244,INBOUND-DOWNTOWN
44,6.259752445101719,OUTBOUND-ST CLAIR
44,11.020225682577951,INBOUND-DOWNTOWN
44,11.590782556824536,OUTBOUND-NORTH BALDWIN
48,6.26243056159668,OUTBOUND-ARLINGTON
48,6.372332757527931,INBOUND-DOWNTOWN
51,6.362303801558404,OUTBOUND-BRENTWOOD LOOP 
51,12.082816558340689,INBOUND-DOWNTOWN
51,14.058079709694658,OUTBOUND-WEST MIFFLIN
