index,E03277,N71211,N71216,N71217,N05685,N06210,N07750,E05520,E05910,E08450,E70966,S70266,E70831,N71321,W20290,N15300,W05915,E19610,E71002,N71338,W07587,S70599,E70451,E70451,S70566,TP7106,E70228,TP1090,TP7076,N24910,TP0460,S48230,W70118,TP7010,X09540,S29255,E35850,W12703,N09505,W70037,S33262,S70594,S33290,S33280,E70839,E71015,TP7105,N40440,S70109,S70271,N71283,N47075,S42503,S43380,S70579,E53500,N70143,N70143,S01410,W70047,TP7061,E56040,S70563,N53610,S48620
8812,12.83333333,21.25,21.1,21.08333333,42.95,25.35,34.01666667,9.45,12.98333333,19.06666667,16.8,29.56666667,21.21666667,27.31666667,34.28333333,20.7,25.85,12.78333333,21.83333333,17.5,30.66666667,42.91666667,12.03333333,12.03333333,27.71666667,37.25,6.666666667,7.883333333,18.13333333,13.91666667,9.383333333,24.75,29.18333333,18.73333333,36.76666667,25.03333333,0,33.86666667,30.63333333,33.91666667,29.46666667,29.33333333,23.85,23.86666667,9.633333333,19.61666667,24.36666667,12.31666667,32.23333333,28.85,10.85,21.35,21.58333333,38.3,20.25,8.5,22.11666667,22.06666667,41.18333333,37.01666667,38.53333333,21.01666667,30.35,26.91666667,24.01666667
22873,18.8,24.48333333,24.35,24.31666667,49.56666667,31.96666667,40.65,27.33333333,21.3,9.833333333,18.53333333,31.6,22.8,33.95,41.35,26.88333333,32.48333333,24.03333333,0.016666667,18.11666667,37.3,36.03333333,30.31666667,30.31666667,20.76666667,44.33333333,19.85,24.75,21.13333333,28.71666667,18.66666667,25.48333333,36.26666667,19.71666667,45.21666667,22.03333333,21.58333333,40.95,37.4,40.98333333,23.41666667,23.3,28.33333333,28.33333333,27.91666667,12.61666667,30.41666667,25.6,19.4,33.33333333,22.71666667,27.5,26.06666667,34.6,21.3,26.8,28,27.95,30.4,44.1,43.01666667,17.46666667,31.28333333,32.63333333,25.71666667
1407,24.36666667,12.18333333,12.05,12.01666667,29.43333333,12.08333333,20.5,14.88333333,14.65,24.45,20.21666667,20.51666667,16.85,13.8,25.21666667,5.333333333,16.8,15.81666667,27.21666667,17.91666667,21.61666667,34.78333333,11.4,11.4,31.3,28.2,19.15,17.83333333,9.083333333,14.31666667,21.08333333,20.4,20.13333333,20.28333333,27.71666667,26.56666667,15.96666667,24.81666667,19,24.85,33.43333333,33.31666667,14.8,14.8,13.31666667,24.63333333,8.866666667,12.71666667,35.65,19.8,11.26666667,5.95,12.51666667,33.63333333,15.7,12.18333333,22.53333333,22.46666667,36.91666667,28.81666667,29.48333333,24.43333333,25.68333333,11.08333333,14.46666667
15276,30.76666667,11.5,11.36666667,11.33333333,30.83333333,19,21.9,23.03333333,16.5,26.3,22.05,19.61666667,18.7,18.18333333,11.7,13.9,10.63333333,18.41666667,29.06666667,26.55,13.53333333,33.88333333,20.05,20.05,33.15,17.3,21.18333333,25.41666667,12.38333333,22.95,21.46666667,22.23333333,2.3,22.11666667,14.2,28.4,24.6,13.91666667,27.58333333,13.96666667,34.75,34.61666667,15.41666667,15.41666667,21.95,26.46666667,17.43333333,21.36666667,37.48333333,13.13333333,19.9,14.53333333,10.5,31.88333333,17.76666667,20.83333333,31.16666667,31.11666667,36.03333333,17.06666667,20.7,26.26666667,27.73333333,19.65,15.65
16063,21.33333333,16.6,16.46666667,16.43333333,41.68333333,24.08333333,32.76666667,18.15,11.7,16.86666667,7.366666667,20.46666667,13.61666667,26.06666667,33.48333333,19,24.6,16.81666667,19.63333333,25.21666667,29.41666667,27,24.76666667,24.76666667,15.58333333,36.45,11.55,15.56666667,13.25,26.65,10.8,8.8,28.38333333,0.6,37.33333333,9.316666667,18.01666667,33.06666667,32.66666667,33.11666667,15.76666667,15.65,20.45,20.46666667,21.71666667,17.03333333,22.53333333,25.06666667,19.46666667,25.45,23.6,19.63333333,18.18333333,23.4,13.41666667,21.25,34.86666667,34.81666667,25.46666667,36.21666667,35.13333333,13.9,18.06666667,24.75,17.83333333
16111,16.88333333,18.65,18.51666667,18.48333333,43.73333333,26.13333333,34.8,11.33333333,10.03333333,16.06666667,11.26666667,25.76666667,16.95,28.11666667,35.51666667,21.05,26.65,12.71666667,18.83333333,22.2,31.46666667,38.01666667,16.71666667,16.71666667,22.36666667,38.5,1.716666667,8.9,15.3,18.6,1.35,19.1,30.43333333,13.33333333,39.38333333,19.61666667,8.066666667,35.11666667,35.31666667,35.15,23.96666667,23.83333333,22.5,22.5,13.63333333,16.23333333,24.58333333,17,26.7,27.48333333,15.55,21.66666667,20.21666667,33.4,15.46666667,13.18333333,26.81666667,26.75,36.1,38.26666667,37.18333333,15.48333333,25.45,26.8,19.88333333
3302,19.81666667,18.31666667,18.18333333,18.15,40.03333333,22.43333333,31.1,13.68333333,18.11666667,26.21666667,25.46666667,26.65,22.98333333,24.4,31.35,17.78333333,22.93333333,17.91666667,26.51666667,11.1,27.75,40.91666667,11.98333333,11.98333333,36.56666667,34.33333333,14.58333333,13.28333333,15.21666667,7.75,16.51666667,26.53333333,26.26666667,25.05,33.85,31.33333333,11.4,30.95,27.33333333,30.98333333,37.8,37.66666667,20.93333333,20.93333333,9.583333333,29.08333333,20.6,0.016666667,40.9,25.93333333,4.166666667,18.43333333,18.66666667,39.76666667,21.83333333,8.45,16.46666667,16.4,43.05,34.1,35.61666667,29.68333333,31.81666667,24.16666667,20.6
4405,42.25,22.98333333,22.85,22.81666667,19.25,27.38333333,17.68333333,34.51666667,27.98333333,37.78333333,33.53333333,31.1,30.18333333,23.15,21.88333333,25.38333333,22.18333333,29.9,40.55,38.03333333,19.73333333,45.36666667,31.53333333,31.53333333,44.63333333,1.533333333,32.66666667,36.9,23.86666667,34.43333333,32.95,33.71666667,18.41666667,33.6,24.38333333,39.88333333,36.08333333,13.7,37.91666667,14.51666667,46.23333333,46.1,26.9,26.9,33.43333333,37.95,28.91666667,32.85,48.96666667,25.28333333,31.38333333,26.01666667,21.98333333,43.36666667,29.25,32.31666667,42.65,42.6,47.51666667,11.73333333,30.51666667,37.75,39.21666667,31.13333333,27.13333333
19687,45.85,26.08333333,25.95,25.91666667,41.63333333,32.98333333,32.7,35.1,31.58333333,41.38333333,37.15,20.45,29.63333333,28.98333333,14.53333333,29,27.25,33.41666667,44.15,41.98333333,25.16666667,25.65,35.48333333,35.48333333,36.61666667,29.16666667,36.26666667,40.73333333,24.45,38.38333333,36.55,32.91666667,19.5,37.21666667,8.166666667,32.06666667,40.03333333,25.8,42.66666667,27.61666667,30.73333333,30.61666667,20.53333333,20.55,37.4,41.56666667,32.53333333,36.8,36.36666667,12.18333333,35.33333333,29.61666667,21.2,23.65,26.33333333,36.26666667,46.6,46.55,27.78333333,28.93333333,0,41.36666667,21.31666667,34.75,29.3
8308,18.1,19.06666667,18.91666667,18.9,42.15,24.55,33.23333333,6.133333333,7.433333333,19.56666667,14.78333333,27.1,15.66666667,26.53333333,33.48333333,19.91666667,25.06666667,7.233333333,22.35,16.71666667,29.88333333,37.36666667,11.23333333,11.23333333,25.88333333,36.46666667,4.5,3.55,15.71666667,13.11666667,5.85,19.2,28.38333333,14.36666667,35.98333333,20.65,5.816666667,33.08333333,29.83333333,33.11666667,27.11666667,26.98333333,22.9,22.91666667,8.5,19.75,23.58333333,11.53333333,30.21666667,27.9,10.06666667,20.55,20.63333333,32.75,16.8,7.716666667,21.33333333,21.26666667,36.81666667,36.21666667,37.6,19,24.8,26.11666667,18.46666667
