,trip_id,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
0,10402070,183315307,71A,INBOUND-DOWNTOWN,5:37:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,6:11:00,60,6.648160115,3,FIFTH AVE + WOOD ST,20856,1/1/2023 5:37,1/1/2023 6:11,0 days 00:34:00,34,0.566666667
1,177070,183315307,71A,OUTBOUND-NEGLEY VIA OAKLAND,6:11:00,3,FIFTH AVE + WOOD ST,20856,6:41:00,61,6.44727031,3,ST CLAIR ST + BUNKER HILL APTS,3118,1/1/2023 6:11,1/1/2023 6:41,0 days 00:30:00,30,0.5
2,6923070,183315407,71C,INBOUND-DOWNTOWN,6:13:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,6:56:00,72,8.856562317,3,FIFTH AVE + WOOD ST,20856,1/1/2023 6:13,1/1/2023 6:56,0 days 00:43:00,43,0.716666667
3,5251070,183315407,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,6:56:00,3,FIFTH AVE + WOOD ST,20856,7:33:00,68,7.991499621,3,EAST BUSWAY + WILKINSBURG STATION D,16118,1/1/2023 6:56,1/1/2023 7:33,0 days 00:37:00,37,0.616666667
4,7534070,183315507,88,INBOUND-DOWNTOWN,5:05:00,3,FIFTH AVE + MCPHERSON FS,8308,5:30:00,35,5.870940883,3,7TH ST + PENN AVE,20182,1/1/2023 5:05,1/1/2023 5:30,0 days 00:25:00,25,0.416666667
5,5456070,183315507,88,OUTBOUND-BAKERY SQUARE,5:30:00,3,7TH ST + PENN AVE,20182,5:54:00,38,5.742708191,3,EAST LIBERTY DRWY + FIFTH FS,16029,1/1/2023 5:30,1/1/2023 5:54,0 days 00:24:00,24,0.4
6,2942070,183315507,88,INBOUND-DOWNTOWN,6:25:00,3,FIFTH AVE + MCPHERSON FS,8308,6:50:00,35,5.870940883,3,7TH ST + PENN AVE,20182,1/1/2023 6:25,1/1/2023 6:50,0 days 00:25:00,25,0.416666667
7,11789070,183315507,88,OUTBOUND-BAKERY SQUARE,6:50:00,3,7TH ST + PENN AVE,20182,7:14:00,38,5.742708191,3,EAST LIBERTY DRWY + FIFTH FS,16029,1/1/2023 6:50,1/1/2023 7:14,0 days 00:24:00,24,0.4
8,9562070,183315607,71D,INBOUND-DOWNTOWN VIA OAKLAND,6:11:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,6:48:00,68,8.092435408,3,FIFTH AVE + WOOD ST,20856,1/1/2023 6:11,1/1/2023 6:48,0 days 00:37:00,37,0.616666667
9,7437070,183315607,71D,OUTBOUND-HAMILTON VIA OAKLAND-SHADYSIDE-5TH AV,6:48:00,3,FIFTH AVE + WOOD ST,20856,7:21:00,67,7.494364149,3,EAST BUSWAY + WILKINSBURG STATION D,16118,1/1/2023 6:48,1/1/2023 7:21,0 days 00:33:00,33,0.55
10,7406070,183315707,71C,INBOUND-DOWNTOWN,6:43:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,7:26:00,72,8.856562317,3,FIFTH AVE + WOOD ST,20856,1/1/2023 6:43,1/1/2023 7:26,0 days 00:43:00,43,0.716666667
11,32070,183315707,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,7:26:00,3,FIFTH AVE + WOOD ST,20856,8:03:00,68,7.991499621,3,EAST BUSWAY + WILKINSBURG STATION D,16118,1/1/2023 7:26,1/1/2023 8:03,0 days 00:37:00,37,0.616666667
12,10012070,183315807,71A,INBOUND-DOWNTOWN,6:37:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,7:11:00,60,6.648160115,3,FIFTH AVE + WOOD ST,20856,1/1/2023 6:37,1/1/2023 7:11,0 days 00:34:00,34,0.566666667
13,1920070,183315807,71A,OUTBOUND-NEGLEY VIA OAKLAND,7:11:00,3,FIFTH AVE + WOOD ST,20856,7:41:00,61,6.44727031,3,ST CLAIR ST + BUNKER HILL APTS,3118,1/1/2023 7:11,1/1/2023 7:41,0 days 00:30:00,30,0.5
14,1610070,183315807,71A,INBOUND-DOWNTOWN,8:07:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,8:41:00,60,6.648160115,3,FIFTH AVE + WOOD ST,20856,1/1/2023 8:07,1/1/2023 8:41,0 days 00:34:00,34,0.566666667
15,9973070,183315807,71A,OUTBOUND-NEGLEY VIA OAKLAND,8:41:00,3,FIFTH AVE + WOOD ST,20856,9:16:00,61,6.44727031,3,ST CLAIR ST + BUNKER HILL APTS,3118,1/1/2023 8:41,1/1/2023 9:16,0 days 00:35:00,35,0.583333333
16,9766070,183315807,71A,INBOUND-DOWNTOWN,9:34:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,10:11:00,60,6.648160115,3,FIFTH AVE + WOOD ST,20856,1/1/2023 9:34,1/1/2023 10:11,0 days 00:37:00,37,0.616666667
17,784070,183315807,71A,OUTBOUND-NEGLEY VIA OAKLAND,10:11:00,3,FIFTH AVE + WOOD ST,20856,10:46:00,61,6.44727031,3,ST CLAIR ST + BUNKER HILL APTS,3118,1/1/2023 10:11,1/1/2023 10:46,0 days 00:35:00,35,0.583333333
18,2055070,183315907,86,INBOUND-DOWNTOWN,5:09:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,5:45:00,75,8.806709583,3,7TH ST + PENN AVE,20182,1/1/2023 5:09,1/1/2023 5:45,0 days 00:36:00,36,0.6
19,4348070,183315907,86,OUTBOUND-WILKINSBURG,5:45:00,3,7TH ST + PENN AVE,20182,6:24:00,72,8.577522463,3,EAST BUSWAY + WILKINSBURG STATION D,16118,1/1/2023 5:45,1/1/2023 6:24,0 days 00:39:00,39,0.65
20,10797070,183315907,86,INBOUND-DOWNTOWN,6:39:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,7:15:00,75,8.806709583,3,7TH ST + PENN AVE,20182,1/1/2023 6:39,1/1/2023 7:15,0 days 00:36:00,36,0.6
21,5775070,183315907,86,OUTBOUND-WILKINSBURG,7:15:00,3,7TH ST + PENN AVE,20182,7:54:00,72,8.577522463,3,EAST BUSWAY + WILKINSBURG STATION D,16118,1/1/2023 7:15,1/1/2023 7:54,0 days 00:39:00,39,0.65
22,14015070,183316007,71C,INBOUND-DOWNTOWN,7:13:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,7:56:00,72,8.856562317,3,FIFTH AVE + WOOD ST,20856,1/1/2023 7:13,1/1/2023 7:56,0 days 00:43:00,43,0.716666667
23,5509070,183316007,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,7:56:00,3,FIFTH AVE + WOOD ST,20856,8:33:00,68,7.991499621,3,EAST BUSWAY + WILKINSBURG STATION D,16118,1/1/2023 7:56,1/1/2023 8:33,0 days 00:37:00,37,0.616666667
24,4563070,183316007,86,INBOUND-DOWNTOWN,8:58:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,9:45:00,75,8.806709583,3,7TH ST + PENN AVE,20182,1/1/2023 8:58,1/1/2023 9:45,0 days 00:47:00,47,0.783333333
25,4212070,183316007,86,OUTBOUND-WILKINSBURG,9:45:00,3,7TH ST + PENN AVE,20182,10:35:00,72,8.577522463,3,EAST BUSWAY + WILKINSBURG STATION D,16118,1/1/2023 9:45,1/1/2023 10:35,0 days 00:50:00,50,0.833333333
