,trip_id,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
0,10402070,183315307.0,71A,INBOUND-DOWNTOWN,05:37:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,06:11:00,60,6.64816011532678,3,FIFTH AVE + WOOD ST,20856,2023-01-01 05:37:00,2023-01-01 06:11:00,0 days 00:34:00,34.0,0.5666666666666667
1,177070,183315307.0,71A,OUTBOUND-NEGLEY VIA OAKLAND,06:11:00,3,FIFTH AVE + WOOD ST,20856,06:41:00,61,6.447270309567898,3,ST CLAIR ST + BUNKER HILL APTS,3118,2023-01-01 06:11:00,2023-01-01 06:41:00,0 days 00:30:00,30.0,0.5
2,6923070,183315407.0,71C,INBOUND-DOWNTOWN,06:13:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,06:56:00,72,8.85656231747176,3,FIFTH AVE + WOOD ST,20856,2023-01-01 06:13:00,2023-01-01 06:56:00,0 days 00:43:00,43.0,0.7166666666666667
3,5251070,183315407.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,06:56:00,3,FIFTH AVE + WOOD ST,20856,07:33:00,68,7.991499620962632,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 06:56:00,2023-01-01 07:33:00,0 days 00:37:00,37.0,0.6166666666666667
4,7534070,183315507.0,88,INBOUND-DOWNTOWN,05:05:00,3,FIFTH AVE + MCPHERSON FS,8308,05:30:00,35,5.870940882597836,3,7TH ST + PENN AVE,20182,2023-01-01 05:05:00,2023-01-01 05:30:00,0 days 00:25:00,25.0,0.4166666666666667
5,5456070,183315507.0,88,OUTBOUND-BAKERY SQUARE,05:30:00,3,7TH ST + PENN AVE,20182,05:54:00,38,5.7427081909354145,3,EAST LIBERTY DRWY + FIFTH FS,16029,2023-01-01 05:30:00,2023-01-01 05:54:00,0 days 00:24:00,24.0,0.4
6,2942070,183315507.0,88,INBOUND-DOWNTOWN,06:25:00,3,FIFTH AVE + MCPHERSON FS,8308,06:50:00,35,5.870940882597836,3,7TH ST + PENN AVE,20182,2023-01-01 06:25:00,2023-01-01 06:50:00,0 days 00:25:00,25.0,0.4166666666666667
7,11789070,183315507.0,88,OUTBOUND-BAKERY SQUARE,06:50:00,3,7TH ST + PENN AVE,20182,07:14:00,38,5.7427081909354145,3,EAST LIBERTY DRWY + FIFTH FS,16029,2023-01-01 06:50:00,2023-01-01 07:14:00,0 days 00:24:00,24.0,0.4
8,9562070,183315607.0,71D,INBOUND-DOWNTOWN VIA OAKLAND,06:11:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,06:48:00,68,8.092435408304025,3,FIFTH AVE + WOOD ST,20856,2023-01-01 06:11:00,2023-01-01 06:48:00,0 days 00:37:00,37.0,0.6166666666666667
9,7437070,183315607.0,71D,OUTBOUND-HAMILTON VIA OAKLAND-SHADYSIDE-5TH AV,06:48:00,3,FIFTH AVE + WOOD ST,20856,07:21:00,67,7.494364149278586,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 06:48:00,2023-01-01 07:21:00,0 days 00:33:00,33.0,0.55
10,7406070,183315707.0,71C,INBOUND-DOWNTOWN,06:43:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,07:26:00,72,8.85656231747176,3,FIFTH AVE + WOOD ST,20856,2023-01-01 06:43:00,2023-01-01 07:26:00,0 days 00:43:00,43.0,0.7166666666666667
11,32070,183315707.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,07:26:00,3,FIFTH AVE + WOOD ST,20856,08:03:00,68,7.991499620962632,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 07:26:00,2023-01-01 08:03:00,0 days 00:37:00,37.0,0.6166666666666667
12,10012070,183315807.0,71A,INBOUND-DOWNTOWN,06:37:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,07:11:00,60,6.64816011532678,3,FIFTH AVE + WOOD ST,20856,2023-01-01 06:37:00,2023-01-01 07:11:00,0 days 00:34:00,34.0,0.5666666666666667
13,1920070,183315807.0,71A,OUTBOUND-NEGLEY VIA OAKLAND,07:11:00,3,FIFTH AVE + WOOD ST,20856,07:41:00,61,6.447270309567898,3,ST CLAIR ST + BUNKER HILL APTS,3118,2023-01-01 07:11:00,2023-01-01 07:41:00,0 days 00:30:00,30.0,0.5
14,1610070,183315807.0,71A,INBOUND-DOWNTOWN,08:07:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,08:41:00,60,6.64816011532678,3,FIFTH AVE + WOOD ST,20856,2023-01-01 08:07:00,2023-01-01 08:41:00,0 days 00:34:00,34.0,0.5666666666666667
15,9973070,183315807.0,71A,OUTBOUND-NEGLEY VIA OAKLAND,08:41:00,3,FIFTH AVE + WOOD ST,20856,09:16:00,61,6.447270309567898,3,ST CLAIR ST + BUNKER HILL APTS,3118,2023-01-01 08:41:00,2023-01-01 09:16:00,0 days 00:35:00,35.0,0.5833333333333334
16,9766070,183315807.0,71A,INBOUND-DOWNTOWN,09:34:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,10:11:00,60,6.64816011532678,3,FIFTH AVE + WOOD ST,20856,2023-01-01 09:34:00,2023-01-01 10:11:00,0 days 00:37:00,37.0,0.6166666666666667
17,784070,183315807.0,71A,OUTBOUND-NEGLEY VIA OAKLAND,10:11:00,3,FIFTH AVE + WOOD ST,20856,10:46:00,61,6.447270309567898,3,ST CLAIR ST + BUNKER HILL APTS,3118,2023-01-01 10:11:00,2023-01-01 10:46:00,0 days 00:35:00,35.0,0.5833333333333334
18,2055070,183315907.0,86,INBOUND-DOWNTOWN,05:09:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,05:45:00,75,8.806709582810345,3,7TH ST + PENN AVE,20182,2023-01-01 05:09:00,2023-01-01 05:45:00,0 days 00:36:00,36.0,0.6
19,4348070,183315907.0,86,OUTBOUND-WILKINSBURG,05:45:00,3,7TH ST + PENN AVE,20182,06:24:00,72,8.57752246262443,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 05:45:00,2023-01-01 06:24:00,0 days 00:39:00,39.0,0.65
20,10797070,183315907.0,86,INBOUND-DOWNTOWN,06:39:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,07:15:00,75,8.806709582810345,3,7TH ST + PENN AVE,20182,2023-01-01 06:39:00,2023-01-01 07:15:00,0 days 00:36:00,36.0,0.6
